"NAME","TYPE","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","PHONE","WEBSITE","INDUSTRY","OWNERSHIP","NUMBEROFEMPLOYEES","RATING","DESCRIPTION","Supplier_Company_Id__c"
"Test acc 1006","Installation Partner","1301 Avenue of the Americas 
New York, NY 10019
USA","Yiwu","AU-NS",0,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","X","AU-VI",0,"CA","+44 191 4956203","www.Test acc 1006.com","Consulting","Other",39000,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1121
"Test acc 1007","Technology Partner","1301 Hoch Drive","Yangjiang","AU-NS",0,"MX","Test acc 2157","X","AU-VI",0,"MX","ZCA1001204KA","www.Test acc 1007.com","Electronics","Private",265,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1122
"Test acc 1008","Other","2 Place Jussieu","YANGA","AU-NS",0,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","X","AU-VI",0,"MX","ZARA710510R37","www.Test acc 1008.com","Construction","Subsidiary",1000,"Cold","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1123
"Test acc 1009","Prospect","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","XXXXX","AU-QL",0,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","X","AU-VI",0,"MX","ZAMM6203256N0","www.Test acc 1009.com","Communications","Private",12300,"Warm","Commerical logistics and transportation company.",1124
"Test acc 101","Customer - Direct","312 Constitution Place
Austin, TX 78767
USA","XXXX","AU-QL",0,"MX","DHE010828K6A","x","AU-VI",0,"MX","ZAAM911823MD5","www.Test acc 101.com","Banking","Subsidiary",5600,"Cold","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1125
"Test acc 1010","Customer - Channel","345 Shoreline Park
Mountain View, CA 94043
USA","XXX","AU-SA",0,"MX","CES081007NE0","X","AU-VI",0,"MX","YARM791119RC8","www.Test acc 1010.com","Agriculture","Public",2680,"Hot","World's third largest oil and gas company.",1126
"Test acc 1011","Channel Partner / Reseller","525 S. Lexington Ave","Xiamen","AU-TS",0,"MX","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","X","AU-VI",0,"MX","WOR980325DE2","www.Test acc 1011.com","Biotechnology","Other",9000,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1127
"Test acc 1012","Installation Partner","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","Xiamen","AU-VI",0,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","X","AU-VI",0,"MX","WOCK8001036H7","www.Test acc 1012.com","Chemicals","Public",2342,"Hot","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1128
"Test acc 1013","Technology Partner","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","x","AU-VI",0,"MX","1301 Hoch Drive","X","AU-VI",0,"MX","WME000218GK3","www.Test acc 1013.com","Education","Public",3000,"Hot","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1129
"Test acc 1014","Other","9 Tagore Lane
Singapore, Singapore 787472
Singapore","X","AU-VI",0,"MX","2 Place Jussieu","X","AU-VI",0,"MX","WIN0112032I0","www.Test acc 1014.com","Energy","Subsidiary",120,"Cold","Commerical logistics and transportation company.",1130
"Test acc 1015","Prospect","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","X","AU-VI",0,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","X","AU-WA",0,"MX","WDM0010313V3","www.Test acc 1015.com","Engineering","Other",24000,"Hot","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1131
"Test acc 1016","Customer - Direct","The Landmark @ One Market","X","AU-VI",0,"MX","Test acc 2157","X","AU-WA",0,"US","WCM081013DVA","www.Test acc 1016.com","Entertainment","Public",234234,"Warm","World's third largest oil and gas company.",1132
"Test acc 1017","Customer - Channel","1301 Avenue of the Americas 
New York, NY 10019
USA","X","AU-VI",0,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","X","AU-WA",0,"US","WAC0606074L3","www.Test acc 1017.com","Environmental","Private",2342,"Cold","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1133
"Test acc 1018","Channel Partner / Reseller","1301 Hoch Drive","X","AU-VI",0,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","X","BD-2",0,"US","VOHG610127LP3","www.Test acc 1018.com","Finance","Subsidiary",4,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1134
"Test acc 1019","Installation Partner","2 Place Jussieu","X","AU-VI",0,"MX","DHE010828K6A","X","BD-3",0,"US","VMI940824FBA","www.Test acc 1019.com","Food & Beverage","Other",234,"Hot","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1135
"Test acc 102","Technology Partner","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","X","AU-VI",0,"MX","CES081007NE0","X","BD-3",0,"US","VJL1110314U7","www.Test acc 102.com","Government","Public",23,"Warm","Commerical logistics and transportation company.",1136
"Test acc 1020","Other","312 Constitution Place
Austin, TX 78767
USA","X","AU-VI",0,"MX","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","X","BD-3",0,"US","VIT051007PM2","www.Test acc 1020.com","Healthcare","Private",45,"Cold","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1137
"Test acc 1021","Prospect","345 Shoreline Park
Mountain View, CA 94043
USA","X","AU-VI",0,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","X","BD-3",0,"US","VIMV661007QFA","www.Test acc 1021.com","Hospitality","Subsidiary",234,"Warm","World's third largest oil and gas company.",1138
"Test acc 1022","Customer - Direct","525 S. Lexington Ave","X","AU-VI",0,"MX","1301 Hoch Drive","X","BD-3",0,"US","VEVR7501289H2","www.Test acc 1022.com","Insurance","Other",52,"Hot","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1139
"Test acc 1023","Customer - Channel","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","X","AU-VI",0,"MX","2 Place Jussieu","X","BD-3",0,"US","VEVF841122GX5","www.Test acc 1023.com","Machinery","Public",345,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1140
"Test acc 1024","Channel Partner / Reseller","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","X","AU-WA",0,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","X","BD-3",0,"US","VERM751021EM9","www.Test acc 1024.com","Manufacturing","Private",23,"Cold","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1141
"Test acc 1025","Installation Partner","9 Tagore Lane
Singapore, Singapore 787472
Singapore","X","AU-WA",0,"MX","Test acc 2157","X","BE-VBR",0,"US","VEN071101A79","www.Test acc 1025.com","Media","Subsidiary",45,"Hot","Commerical logistics and transportation company.",1142
"Test acc 1026","Technology Partner","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","X","AU-WA",0,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","X","CA",0,"US","VEMD790520J8","www.Test acc 1026.com","Not For Profit","Other",234,"Warm","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1143
"Test acc 1027","Other","The Landmark @ One Market","X","AZ",0,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","X","CA",0,"US","VELC530619G12","www.Test acc 1027.com","Recreation","Public",5,"Cold","World's third largest oil and gas company.",1144
"Test acc 1028","Prospect","1301 Avenue of the Americas 
New York, NY 10019
USA","X","BD-2",0,"MX","DHE010828K6A","X","CA",0,"US","VEL070119UA7","www.Test acc 1028.com","Retail","Private",4634,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1145
"Test acc 1029","Customer - Direct","1301 Hoch Drive","X","BD-3",0,"MX","CES081007NE0","X","CA",0,"US","VEHR440623IT7","www.Test acc 1029.com","Shipping","Subsidiary",56,"Hot","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1146
"Test acc 103","Customer - Channel","2 Place Jussieu","X","BD-3",0,"MX","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","X","CA",0,"US","VEEG7107305E9","www.Test acc 103.com","Technology","Other",45,"Warm","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1147
"Test acc 1030","Channel Partner / Reseller","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","X","BD-3",0,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","X","CA",0,"US","VEAC7707091J4","www.Test acc 1030.com","Telecommunications","Public",63,"Cold","Commerical logistics and transportation company.",1148
"Test acc 1031","Installation Partner","312 Constitution Place
Austin, TX 78767
USA","X","BD-3",0,"MX","1301 Hoch Drive","X","CA-ON",0,"US","VCO080523FK4","www.Test acc 1031.com","Transportation","Private",46,"Warm","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1149
"Test acc 1032","Technology Partner","345 Shoreline Park
Mountain View, CA 94043
USA","X","BD-3",0,"MX","2 Place Jussieu","Wujing City","CA-ON",0,"US","VCE051014QN4","www.Test acc 1032.com","Utilities","Subsidiary",234,"Hot","World's third largest oil and gas company.",1150
"Test acc 1033","Other","525 S. Lexington Ave","X","BD-3",0,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","Winston Salem","CA-ON",213172,"CN","VAU7912221E8","www.Test acc 1033.com","Other","Other",52345,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1151
"Test acc 1034","Prospect","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","X","BD-3",0,"MX","Test acc 2157","WILMINGTON","CA-ON",27104,"US","VASY8511137N5","www.Test acc 1034.com","Agriculture","Public",23,"Cold","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1152
"Test acc 1035","Customer - Direct","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","X","BE-VBR",0,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","Westlake","CH-VD",1887,"US","VAMR431202565","www.Test acc 1035.com","Apparel","Private",45,"Hot","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1153
"Test acc 1036","Customer - Channel","9 Tagore Lane
Singapore, Singapore 787472
Singapore","X","CA",0,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","West Melbourne","CH-ZH",44145,"US","VAMA700828JV3","www.Test acc 1036.com","Banking","Subsidiary",23,"Warm","Commerical logistics and transportation company.",1154
"Test acc 1037","Channel Partner / Reseller","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","X","CA",0,"MX","DHE010828K6A","WEST ALTON","CN-FJ",3003,"AU","VALL760329844","www.Test acc 1037.com","Biotechnology","Other",452,"Cold","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1155
"Test acc 1038","Installation Partner","The Landmark @ One Market","X","CA",0,"MX","CES081007NE0","Wenzhou","CN-FJ",63386,"US","VAGO701205674","www.Test acc 1038.com","Chemicals","Public",345,"Warm","World's third largest oil and gas company.",1156
"Test acc 1039","Technology Partner","1301 Avenue of the Americas 
New York, NY 10019
USA","X","CA",0,"MX","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","Wenzhou","CN-FJ",325000,"CN","VAFM2701318Y8","www.Test acc 1039.com","Communications","Private",2,"Hot","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1157
"Test acc 104","Other","1301 Hoch Drive","X","CA",0,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","Weihai","CN-FJ",325011,"CN","VACH640322NQ1","www.Test acc 104.com","Construction","Subsidiary",345,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1158
"Test acc 1040","Prospect","2 Place Jussieu","Wujing City","CA",0,"MX","1301 Hoch Drive","Weifang","CN-FJ",264200,"CN","VABC610313NR2","www.Test acc 1040.com","Consulting","Other",1,"Cold","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1159
"Test acc 1041","Customer - Direct","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","Winston Salem","CA",0,"MX","2 Place Jussieu","Weifang","CN-GD",261031,"CN","UVA030310LF8","www.Test acc 1041.com","Education","Public",235,"Warm","Commerical logistics and transportation company.",1160
"Test acc 1042","Customer - Channel","312 Constitution Place
Austin, TX 78767
USA","WILMINGTON","CA",0,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","Waupaca","CN-GD",261041,"CN","UTM931109I9A","www.Test acc 1042.com","Electronics","Private",23,"Hot","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1161
"Test acc 1043","Channel Partner / Reseller","345 Shoreline Park
Mountain View, CA 94043
USA","Westlake","CA-ON",0,"MX","Test acc 2157","Warren","CN-GD",54981,"US","UPN830920KC4","www.Test acc 1043.com","Energy","Subsidiary",45,"Warm","World's third largest oil and gas company.",1162
"Test acc 1044","Installation Partner","525 S. Lexington Ave","West Melbourne","CA-ON",0,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","WARREN","CN-GD",15086,"US","UPLU750329244","www.Test acc 1044.com","Engineering","Other",23,"Cold","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1163
"Test acc 1045","Technology Partner","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","WEST ALTON","CA-ON",0,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","Warren","CN-GD",48092,"US","UNI9704247M21","www.Test acc 1045.com","Entertainment","Public",45,"Hot","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1164
"Test acc 1046","Other","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","Wenzhou","CA-ON",0,"MX","DHE010828K6A","Wanchai","CN-GD",48093,"US","UNA621029N46","www.Test acc 1046.com","Environmental","Private",234,"Warm","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1165
"Test acc 1047","Prospect","9 Tagore Lane
Singapore, Singapore 787472
Singapore","Wenzhou","CH-VD",0,"MX","CES081007NE0","Wanchai","CN-GD",0,"HK","UME110712SYA","www.Test acc 1047.com","Finance","Subsidiary",52,"Cold","Commerical logistics and transportation company.",1166
"Test acc 1048","Customer - Direct","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","Weihai","CH-ZH",0,"MX","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","Wanchai","CN-GD",11111,"HK","UIM830519SJA","www.Test acc 1048.com","Food & Beverage","Other",436,"Warm","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1167
"Test acc 1049","Customer - Channel","The Landmark @ One Market","Weifang","CN-FJ",0,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","Wan Chai","CN-GD","HKSAR","HK","UHP900402Q29","www.Test acc 1049.com","Government","Public",3,"Hot","World's third largest oil and gas company.",1168
"Test acc 105","Channel Partner / Reseller","1301 Avenue of the Americas 
New York, NY 10019
USA","Weifang","CN-FJ",0,"MX","1301 Hoch Drive","Wals/Salzburg","CN-GD","HKSAR","HK","UES1211137X0","www.Test acc 105.com","Healthcare","Private",456,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1169
"Test acc 1050","Installation Partner","1301 Hoch Drive","Waupaca","CN-FJ",0,"MX","2 Place Jussieu","VINCENNES","CN-GD",5071,"AT","UDI121019FN2","www.Test acc 1050.com","Hospitality","Subsidiary",457,"Cold","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1170
"Test acc 1051","Technology Partner","2 Place Jussieu","Warren","CN-FJ",0,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","VILLAHERMOSA","CN-GD",47591,"US","UB2 5LJ","www.Test acc 1051.com","Insurance","Other",4,"Warm","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1171
"Test acc 1052","Other","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","WARREN","CN-FJ",0,"MX","Test acc 2157","Verl","CN-GD",86280,"MX","UAM661220TF7","www.Test acc 1052.com","Machinery","Public",6,"Hot","Commerical logistics and transportation company.",1172
"Test acc 1053","Prospect","312 Constitution Place
Austin, TX 78767
USA","Warren","CN-GD",0,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","VERACRUZ","CN-JS",33415,"DE","UACE350204HV7","www.Test acc 1053.com","Manufacturing","Private",856,"Warm","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1173
"Test acc 1054","Customer - Direct","345 Shoreline Park
Mountain View, CA 94043
USA","Wanchai","CN-GD",0,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","VERACRUZ","CN-JS",0,"MX","TYU7712304L6","www.Test acc 1054.com","Media","Subsidiary","Cold","World's third largest oil and gas company.",,1174
"Test acc 1055","Customer - Channel","525 S. Lexington Ave","Wanchai","CN-GD",0,"MX","DHE010828K6A","VERACRUZ","CN-JS",91170,"MX","TVE060408JL4","www.Test acc 1055.com","Not For Profit","Other",34,"Hot","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1175
"Test acc 1056","Channel Partner / Reseller","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","Wanchai","CN-GD",0,"MX","CES081007NE0","VENUSTIANO CARRANZA","CN-JS",91700,"MX","TUN981229D27","www.Test acc 1056.com","Recreation","Public",6,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1176
"Test acc 1057","Installation Partner","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","Wan Chai","CN-GD",0,"MX","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","Vedene","CN-JS",15850,"MX","TTR860408K74","www.Test acc 1057.com","Retail","Private",34,"Cold","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1177
"Test acc 1058","Technology Partner","9 Tagore Lane
Singapore, Singapore 787472
Singapore","Wals/Salzburg","CN-GD",0,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","Vadnais Heights","CN-SD",84275,"FR","TTR1102141G4","www.Test acc 1058.com","Shipping","Subsidiary",57,"Warm","Commerical logistics and transportation company.",1178
"Test acc 1059","Other","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","VINCENNES","CN-GD",0,"MX","1301 Hoch Drive","Utrecht","CN-SD",55110,"US","TSI070309Q84","www.Test acc 1059.com","Technology","Other",675,"Hot","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1179
"Test acc 106","Prospect","The Landmark @ One Market","VILLAHERMOSA","CN-GD",0,"MX","2 Place Jussieu","Tutlitlan","CN-SD","3521 EN","NL","TSG0606274N7","www.Test acc 106.com","Telecommunications","Public",8,"Warm","World's third largest oil and gas company.",1180
"Test acc 1060","Customer - Direct","1301 Avenue of the Americas 
New York, NY 10019
USA","Verl","CN-GD",0,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","TULTITLAN","CN-SD",54900,"MX","TRT130129EX6","www.Test acc 1060.com","Transportation","Private",5134,"Cold","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1181
"Test acc 1061","Customer - Channel","1301 Hoch Drive","VERACRUZ","CN-GD",0,"MX","Test acc 2157","TULTITLAN","CN-SD",0,"MX","TRT130128EX6","www.Test acc 1061.com","Utilities","Subsidiary",3,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1182
"Test acc 1062","Channel Partner / Reseller","2 Place Jussieu","VERACRUZ","CN-GD",0,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","TULTEPEC","CN-SH",54900,"MX","TRA990129QY1","www.Test acc 1062.com","Other","Other",412,"Hot","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1183
"Test acc 1063","Installation Partner","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","VERACRUZ","CN-GD",0,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","TULARE","CN-SH",54980,"MX","TRA070606RDA","www.Test acc 1063.com","Agriculture","Public",12341,"Warm","Commerical logistics and transportation company.",1184
"Test acc 1064","Technology Partner","312 Constitution Place
Austin, TX 78767
USA","VENUSTIANO CARRANZA","CN-GD",0,"MX","DHE010828K6A","TULA DE ALLENDE","CN-SH",93291,"US","TQA100511KQ8","www.Test acc 1064.com","Apparel","Private",1234,"Cold","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1185
"Test acc 1065","Other","345 Shoreline Park
Mountain View, CA 94043
USA","Vedene","CN-JS",0,"MX","CES081007NE0","Tsuen Wan NT","CN-SH",42808,"MX","TPS110222U48","www.Test acc 1065.com","Banking","Subsidiary",23412341,"Hot","World's third largest oil and gas company.",1186
"Test acc 1066","Prospect","525 S. Lexington Ave","Vadnais Heights","CN-JS",0,"MX","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","Tsuen Wan","CN-SH","na","HK","TPR920625G68","www.Test acc 1066.com","Biotechnology","Other",23412,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1187
"Test acc 1067","Customer - Direct","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","Utrecht","CN-JS",0,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","Tsuen Wan","CN-SX",111111,"HK","TPA090106GN7","www.Test acc 1067.com","Chemicals","Public",234,"Cold","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1188
